"school","total","amind","asian","black","hisp","white","mult","frpl","el","sped","ls","ls_cty","organization name","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","dist_frpl","dist_el","dist_sped","county","cty_total","cty_amind","cty_asian","cty_black","cty_hisp","cty_white","cty_mult","county_frpl","cty_el","cty_sped"
"Aurora Science & Tech Middle School",444,0.00675675675675676,0.0157657657657658,0.126126126126126,0.702702702702703,0.0945945945945946,0.0540540540540541,0.675675675675676,0.367117117117117,0.132882882882883,0.0564326750965819,0.225265632186638,"Adams-Arapahoe 28J",38451,0.00683987412551039,0.0583859977633872,0.17203713817586,0.558034901563028,0.145405841200489,0.0592962471717251,0.711809435556404,0.38425528594835,0.136043275857585,"ARAPAHOE",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.410089621277826,0.195971157944177,0.131607100921102
"Downtown Denver Expeditionary School",274,0.00364963503649635,0.0109489051094891,0.062043795620438,0.208029197080292,0.583941605839416,0.131386861313869,0.266423357664234,0.0182481751824818,0.116788321167883,0.361058633532504,0.215916210192255,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST Middle School @ Noel Campus",456,0.00219298245614035,0.0153508771929825,0.221491228070175,0.653508771929825,0.0635964912280702,0.043859649122807,0.75,0.394736842105263,0.105263157894737,0.150937742326444,0.280063609850388,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: Byers High School",557,0.00179533213644524,0.0359066427289048,0.166965888689408,0.33213644524237,0.405745062836625,0.0574506283662478,0.421903052064632,0.111310592459605,0.107719928186715,0.0834017412172821,0.0262591884745502,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: Byers Middle School",476,0.00210084033613445,0.0273109243697479,0.197478991596639,0.308823529411765,0.401260504201681,0.0630252100840336,0.48109243697479,0.203781512605042,0.102941176470588,0.103739089854878,0.0474746912092693,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: Cole High School",357,0,0.0140056022408964,0.103641456582633,0.840336134453782,0.0336134453781513,0.00840336134453781,0.868347338935574,0.277310924369748,0.168067226890756,0.278407944052415,0.456727330338008,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: Cole Middle School",262,0.00381679389312977,0.0152671755725191,0.217557251908397,0.702290076335878,0.0305343511450382,0.0305343511450382,0.908396946564885,0.50763358778626,0.179389312977099,0.220965523549051,0.372564623274036,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: College View High School",581,0.00688468158347676,0.0688468158347676,0.0103270223752151,0.87263339070568,0.0344234079173838,0.00688468158347676,0.805507745266781,0.330464716006885,0.0929432013769363,0.388527181629234,0.54423591763653,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: College View Middle School",484,0.00206611570247934,0.0661157024793388,0.0392561983471074,0.84504132231405,0.0392561983471074,0.00826446280991736,0.838842975206612,0.564049586776859,0.0971074380165289,0.311756893242633,0.462829763514169,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: Conservatory Green High School",576,0.00173611111111111,0.0381944444444444,0.234375,0.581597222222222,0.09375,0.0503472222222222,0.616319444444444,0.220486111111111,0.105902777777778,0.103544354475155,0.197770265520872,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: Conservatory Green Middle School",447,0.00447427293064877,0.0178970917225951,0.170022371364653,0.646532438478747,0.0961968680089485,0.0648769574944072,0.695749440715884,0.369127516778524,0.0984340044742729,0.0912266178140495,0.201329500501262,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: Elevate Northeast High School",160,0,0.025,0.2375,0.65,0.0375,0.05,0.75625,0.3,0.05625,0.200047571891586,0.331940667705789,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: Green Valley Ranch High School",565,0.00176991150442478,0.0973451327433628,0.238938053097345,0.598230088495575,0.0336283185840708,0.0300884955752212,0.676106194690265,0.249557522123894,0.0973451327433628,0.235375945781273,0.329031217393894,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: Green Valley Ranch Middle School",479,0,0.110647181628392,0.258872651356994,0.559498956158664,0.0334029227557411,0.0375782881002088,0.736951983298539,0.402922755741127,0.0939457202505219,0.259807587142683,0.339268424449758,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: Montview High School",570,0.00526315789473684,0.0298245614035088,0.312280701754386,0.414035087719298,0.156140350877193,0.0824561403508772,0.650877192982456,0.201754385964912,0.101754385964912,0.130203306581649,0.172167390215301,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
"DSST: Montview Middle School",475,0,0.0315789473684211,0.374736842105263,0.381052631578947,0.147368421052632,0.0652631578947368,0.667368421052632,0.317894736842105,0.132631578947368,0.200533295074008,0.243942404765896,"Denver County 1",88889,0.00571499285625893,0.0348074564906794,0.13427983215021,0.521538098077377,0.255329680837899,0.0483299395875755,0.594655026820014,0.289304638369202,0.121567348040815,"DENVER",203860,0.00582262336897871,0.0534631609928382,0.125640145197685,0.416702639066026,0.34150397331502,0.0568674580594526,0.594655026820014,0.289304638369202,0.121567348040815
